id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3851474,Hallandale beach. Excelente apartamento na praia,19196941,Teofilo,,Hollywood,25.98791,-80.11904,Entire home/apt,151,3,11,2022-03-22,0.28,1,216,8,
3938247,"""The Broadwalk"" = 1/1 on Hlwd Beach",6509464,Rich,,Hollywood,26.0178,-80.11688,Private room,205,5,34,2022-03-12,0.38,6,351,9,
3951236,lovely condo with view on canals,20479149,Nicole,,Hallandale Beach,25.98015,-80.12496,Entire home/apt,115,300,118,2021-09-27,1.41,1,327,12,
4010331,4Palms Guestroom in private  home,20793680,James,,Dania Beach,26.05441,-80.14241,Private room,54,1,77,2019-12-11,0.86,1,235,0,
4033013,Make Yourself at Home,7259492,Alda,,Miramar,25.98763,-80.31558,Private room,68,6,9,2022-03-05,0.11,2,167,4,
4047441,OCEANFRONT 1/1.5  ON THE BEACH 15FL,2001930,Dmitri,,Hollywood,25.98785,-80.11883,Entire home/apt,199,5,0,,,48,112,0,
4064679,2BR Beachside Condo in Central Ft Lauderdale Beach,1770887,Chris,,Fort Lauderdale,26.13702,-80.104,Entire home/apt,429,2,6,2021-03-27,0.09,10,0,1,
4066268,"OCEANVIEW CONDO, 1/1 for 4, LARGE PATIO",17469794,Valerie,,Hollywood,26.03109,-80.115,Entire home/apt,171,7,37,2022-02-16,0.41,42,224,19,
4084768,Home away from Home,11068214,Ronald,,Hollywood,25.98762,-80.11921,Entire home/apt,180,7,32,2021-12-10,0.37,7,54,2,
4097680,"Gorgeous 1 Bedroom, Like New !!",12878437,Vicky,,Hollywood,25.98677,-80.11904,Entire home/apt,160,5,12,2021-02-28,0.16,9,346,0,
4104891,4 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.02391,-80.11504,Entire home/apt,106,3,69,2021-08-08,0.77,5,341,1,
4121107,Key West style suite near everything in historic,4636007,Jesus,,Fort Lauderdale,26.11972,-80.15277,Entire home/apt,201,3,5,2022-03-20,1.83,2,360,5,
4196774,GORGEOUS OCEANFRONT PENTHOUSE,21771375,Luis,,Hollywood,26.0151,-80.11629,Entire home/apt,139,90,4,2021-12-31,0.04,1,278,1,
4241389,"Marriott's BeachPlace Towers - Fort Lauderdale, FL",22008615,Sabrina,,Fort Lauderdale,26.12221,-80.10521,Entire home/apt,132,1,6,2021-01-02,0.09,2,0,0,
4258380,"Across the beach, golf.  Pompano beach",22100178,Annic,,Pompano Beach,26.24916,-80.08823,Entire home/apt,103,6,36,2022-01-29,0.52,1,70,22,
4283746,One Bedroom beach home Hollywood,22238827,Veronika,,Hollywood,26.02306,-80.1155,Hotel room,166,1,1,2018-03-11,0.02,5,338,0,
4284986,Superior Standard Room,22238827,Veronika,,Hollywood,26.02215,-80.11744,Private room,154,1,69,2022-02-07,1.23,5,324,8,
4288346,Wyndham resort - President's Day Week - 2/2,22264120,Steve,,Pompano Beach,26.24214,-80.0894,Entire home/apt,100,7,2,2019-02-15,0.05,1,0,0,
4294956,Vacation Home Rental,350312,Jaime,,Hollywood,26.01321,-80.15872,Entire home/apt,150,60,1,2018-03-18,0.02,2,326,0,
4295517,Vacation Apartment Rental,350312,Jaime,,Hollywood,26.01329,-80.15842,Entire home/apt,60,60,4,2019-05-15,0.05,2,247,0,
4315812,"Tropical Oasis, Luxury Surroundings",6270706,Daniel,,Hollywood,26.00751,-80.13427,Private room,540,20,0,,,1,365,0,
4321322,Fully furnished Condo,14751091,Philip,,Deerfield Beach,26.32029,-80.1455,Entire home/apt,160,28,18,2021-10-31,0.21,4,29,4,
