id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
594414635533252208,Feel at home! Amazing 3bed 3bath w/Stunning View,158837906,Hashouki,,East Cambridge,42.39215,-71.07741,Entire home/apt,599,7,0,,,41,351,0,
45507435,Purple House and Garden,5855483,Macy,,North Cambridge,42.39869,-71.11488,Entire home/apt,186,3,22,2022-06-13,3.00,1,54,22,
28050946,Garden Retreat,211897787,Sandra,,Agassiz,42.38372,-71.10939,Private room,112,2,48,2022-06-13,1.23,1,285,24,
22328758,@4闪闪 overflow room near Tufts Cambridge Davis Sq.,161997023,Shine,,North Cambridge,42.40993,-71.13333,Private room,67,2,245,2022-06-20,4.53,4,337,57,
6450220,Longwood Medical 2br Brookline Condo with Parking!,2006852,Jay,,Area 2/MIT,42.33693,-71.11193,Entire home/apt,280,1,126,2022-05-08,1.67,7,296,33,
916123,"N3 Little Italy Historic, Freedom Trail, TD Garden",3637081,Sarah,,East Cambridge,42.36541,-71.05404,Entire home/apt,184,1,696,2022-06-07,6.24,12,209,118,STR-445691
53367842,"5-2 Chic Studio, Affordable & Simple",285344759,Bv,,Area 2/MIT,42.34763,-71.06905,Entire home/apt,87,3,13,2022-05-27,2.12,27,0,13,STR-415225
6879036,Stylish Studio on Newbury St; #3,22348222,Maverick,,Area 2/MIT,42.34982,-71.08264,Entire home/apt,248,1,228,2022-05-29,2.84,84,334,20,STR-445394
559668242126598958,Come and Explore Boston From this Central Location,285344759,Bv,,Area 2/MIT,42.34906,-71.06876,Private room,96,2,4,2022-05-31,2.45,27,118,4,STR-415225
2126053,"Studio, w kitchenette, in owner's Beacon Hill home",10844648,Janet,,Area 2/MIT,42.35771,-71.06978,Entire home/apt,165,29,112,2022-05-14,1.12,1,150,4,STR-395757
31984461,🌳Walk to MGH🏨Deck🌲5 Star🌻Sanitized🐶Dogs Ok,238179467,BlackFox,,East Cambridge,42.35994,-71.07021,Entire home/apt,99,32,21,2021-10-31,0.52,8,313,2,
46576290,"Boston Studio, Ready For Long & Short Stays 205",183914990,Edmund,,Area 2/MIT,42.3545,-71.06313,Private room,158,29,16,2021-10-03,1.27,9,0,14,STR439290
50386523,Prime Back Bay 2BR/2B steps from Prudential...,107434423,Blueground,,Area 2/MIT,42.34449,-71.08237,Entire home/apt,277,32,0,,,324,310,0,
25576444,SouthEnd Eagles Nest,34719298,Michael,,Area 2/MIT,42.34226,-71.07881,Entire home/apt,256,2,110,2022-06-05,2.24,1,15,43,STR-405587
3331467,"Beautiful apt near Tufts, Harvard",2874070,Johno And Gilly,,North Cambridge,42.39989,-71.12561,Entire home/apt,180,91,242,2019-06-23,2.48,1,202,0,
7834972,Historic New England 4th Bedroom,35408517,Kyle,,North Cambridge,42.41548,-71.12396,Private room,50,1,53,2021-02-20,0.65,4,82,0,
48988149,Walk to Harvard Uni. /Train/Porter! Long term stay,34191455,Manoj,,Agassiz,42.38623,-71.1102,Private room,65,4,5,2022-06-05,0.80,8,52,5,
18757211,"Stay next to Harvard, MIT & Tufts University",51354887,Andre,,North Cambridge,42.40578,-71.11461,Private room,78,1,57,2021-09-27,0.92,3,227,2,
8521,SunsplashedSerenity walk to Harvard & Fresh Pond,306681,Janet,,West Cambridge,42.38258,-71.13646,Entire home/apt,300,2,49,2022-05-30,0.31,2,177,10,C0121120491
11169,Lovely Studio Room: Available for 7-10 days,40965,Judy,,North Cambridge,42.3963,-71.13135,Private room,112,3,156,2022-06-18,1.05,1,332,10,
19581,"Furnished suite, Windsor",74249,Marc And Patty,,The Port,42.36258,-71.09603,Private room,195,10,8,2021-09-11,0.05,3,162,2,
27498,Furnished suite 2 @ the Windsor,74249,Marc And Patty,,The Port,42.36254,-71.09698,Private room,275,5,16,2022-06-12,0.11,3,204,5,
79762,Cambridge Getaway @ Harvard & MIT,430015,Kevin,,The Port,42.3695,-71.09921,Entire home/apt,250,3,380,2022-06-07,2.80,2,167,29,STR-15661
106474,large furnished suite in Central sq,74249,Marc And Patty,,The Port,42.36274,-71.09768,Private room,295,5,20,2022-05-29,0.15,3,233,5,ROT-10694669-006
108898,"""The Treehouse"" :   Elegant living near Harvard",306681,Janet,,West Cambridge,42.38227,-71.13643,Entire home/apt,200,2,26,2022-06-16,0.19,2,197,6,CO121110491
405144,Apartment in Harvard's Backyard,2018955,Nicole,,Riverside,42.3691,-71.11237,Entire home/apt,165,31,54,2021-07-29,0.44,1,205,1,
445407,East Cambridge Apartment,2212429,Jimmy,,Wellington-Harrington,42.37147,-71.08939,Entire home/apt,300,3,56,2021-08-15,0.46,2,1,7,STR-17249
456429,Elegant Airy Comfort. Workspace. Private Entrance.,2244099,Rebecca & Richard,,North Cambridge,42.39475,-71.12548,Entire home/apt,575,4,279,2022-06-12,2.29,1,58,23,
577384,Large Room with Shared Bath,229956,Adam,,The Port,42.36613,-71.09883,Private room,39,29,144,2022-05-31,1.19,4,0,9,
675441,Waterfront-1 Bed Room Luxury Condo,3423245,Elaine,,East Cambridge,42.37103,-71.07557,Private room,188,91,14,2015-05-28,0.12,1,365,0,
715532,"Quiet, Artistically Decorated Cambridge Apartment",3673828,Kate,,North Cambridge,42.39346,-71.13137,Entire home/apt,225,2,309,2022-06-12,2.61,1,168,42,C0262370491
